ID,Indicator,Country,"Country Code",Year,"Country Score","Country Color","Country Cateory","Created By","Created At"
50,"Overall Score","No Country",GAB,2023,3.762389910,#fdae61,High,Admin,"2024-11-20 09:56:34"
51,"Overall Score","No Country",GBR,2023,1.900540328,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
52,"Overall Score","No Country",GEO,2023,2.988733478,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
53,"Overall Score","No Country",GHA,2023,3.231559949,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
54,"Overall Score","No Country",GIN,2023,4.131050429,#fdae61,High,Admin,"2024-11-20 09:56:34"
55,"Overall Score","No Country",GMB,2023,4.164931058,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
56,"Overall Score","No Country",GNB,2023,4.450110984,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
57,"Overall Score","No Country",GNQ,2023,4.382162126,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
58,"Overall Score","No Country",GRC,2023,2.531911743,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
59,"Overall Score","No Country",GTM,2023,3.890968300,#fdae61,High,Admin,"2024-11-20 09:56:34"
60,"Overall Score","No Country",GUY,2023,3.338424562,#fee98b,Medium,Admin,"2024-11-20 09:56:34"
61,"Overall Score","No Country",HND,2023,3.398150203,#fee98b,Medium,Admin,"2024-11-20 09:56:34"
62,"Overall Score","No Country",HRV,2023,3.072211936,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
63,"Overall Score","No Country",HTI,2023,4.738543456,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
64,"Overall Score","No Country",HUN,2023,1.765187595,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
65,"Overall Score","No Country",IDN,2023,3.394927256,#fee98b,Medium,Admin,"2024-11-20 09:56:34"
66,"Overall Score","No Country",IND,2023,3.930575278,#fdae61,High,Admin,"2024-11-20 09:56:34"
67,"Overall Score","No Country",IRL,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
68,"Overall Score","No Country",IRN,2023,3.175345685,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
69,"Overall Score","No Country",IRQ,2023,3.761684019,#fdae61,High,Admin,"2024-11-20 09:56:34"
70,"Overall Score","No Country",ISL,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
71,"Overall Score","No Country",ISR,2023,3.072381670,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
72,"Overall Score","No Country",ITA,2023,1.378681945,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
73,"Overall Score","No Country",JAM,2023,2.664623472,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
74,"Overall Score","No Country",JOR,2023,2.942744489,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
75,"Overall Score","No Country",JPN,2023,1.318466887,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
76,"Overall Score","No Country",KAZ,2023,2.485870007,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
77,"Overall Score","No Country",KEN,2023,3.933398841,#fdae61,High,Admin,"2024-11-20 09:56:34"
78,"Overall Score","No Country",KGZ,2023,3.078981434,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
79,"Overall Score","No Country",KHM,2023,4.099283204,#fdae61,High,Admin,"2024-11-20 09:56:34"
80,"Overall Score","No Country",KOR,2023,1.633149121,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
81,"Overall Score","No Country",KWT,2023,1.977070196,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
82,"Overall Score","No Country",LAO,2023,4.124517491,#fdae61,High,Admin,"2024-11-20 09:56:34"
83,"Overall Score","No Country",LBN,2023,3.457926973,#fee98b,Medium,Admin,"2024-11-20 09:56:34"
84,"Overall Score","No Country",LBR,2023,3.598742493,#fdae61,High,Admin,"2024-11-20 09:56:34"
85,"Overall Score","No Country",LBY,2023,3.542785418,#fee98b,Medium,Admin,"2024-11-20 09:56:34"
86,"Overall Score","No Country",LKA,2023,3.283795876,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
87,"Overall Score","No Country",LSO,2023,4.119048150,#fdae61,High,Admin,"2024-11-20 09:56:34"
88,"Overall Score","No Country",LTU,2023,1.982542726,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
89,"Overall Score","No Country",LVA,2023,1.703464825,#1a9850,"Very Low",Admin,"2024-11-20 09:56:34"
90,"Overall Score","No Country",MAR,2023,3.114275979,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
91,"Overall Score","No Country",MDA,2023,2.556622163,#a6d96a,Low,Admin,"2024-11-20 09:56:34"
92,"Overall Score","No Country",MDG,2023,4.426816584,#d73027,"Very High",Admin,"2024-11-20 09:56:34"
93,"Overall Score","No Country",MEX,2023,3.333318294,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
94,"Overall Score","No Country",MKD,2023,3.365862553,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
95,"Overall Score","No Country",MLI,2023,4.553171057,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
96,"Overall Score","No Country",MMR,2023,4.333638985,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
97,"Overall Score","No Country",MNE,2023,2.007578424,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
98,"Overall Score","No Country",MNG,2023,3.311525895,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
99,"Overall Score","No Country",MOZ,2023,4.207284513,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
100,"Overall Score","No Country",MRT,2023,4.603105979,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
101,"Overall Score","No Country",MUS,2023,2.151958923,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
102,"Overall Score","No Country",MWI,2023,4.079518259,#fdae61,High,Admin,"2024-11-20 09:56:35"
103,"Overall Score","No Country",MYS,2023,2.375594110,#a6d96a,Low,Admin,"2024-11-20 09:56:35"
104,"Overall Score","No Country",NAM,2023,3.979987641,#fdae61,High,Admin,"2024-11-20 09:56:35"
105,"Overall Score","No Country",NER,2023,4.630997466,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
106,"Overall Score","No Country",NGA,2023,4.564966282,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
107,"Overall Score","No Country",NIC,2023,3.502622057,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
108,"Overall Score","No Country",NLD,2023,1.099889682,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
109,"Overall Score","No Country",NOR,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
110,"Overall Score","No Country",NPL,2023,3.644737290,#fdae61,High,Admin,"2024-11-20 09:56:35"
111,"Overall Score","No Country",NZL,2023,1.000000000,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
112,"Overall Score","No Country",OMN,2023,2.266373933,#a6d96a,Low,Admin,"2024-11-20 09:56:35"
113,"Overall Score","No Country",PAK,2023,4.010157618,#fdae61,High,Admin,"2024-11-20 09:56:35"
114,"Overall Score","No Country",PAN,2023,2.987332370,#a6d96a,Low,Admin,"2024-11-20 09:56:35"
115,"Overall Score","No Country",PER,2023,3.389772652,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
116,"Overall Score","No Country",PHL,2023,3.455327366,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
117,"Overall Score","No Country",PNG,2023,4.285036668,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
118,"Overall Score","No Country",POL,2023,1.491220902,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
119,"Overall Score","No Country",PRK,2023,3.926339932,#fdae61,High,Admin,"2024-11-20 09:56:35"
120,"Overall Score","No Country",PRT,2023,1.441361117,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
121,"Overall Score","No Country",PRY,2023,3.647256591,#fdae61,High,Admin,"2024-11-20 09:56:35"
122,"Overall Score","No Country",PSE,2023,3.813155873,#fdae61,High,Admin,"2024-11-20 09:56:35"
123,"Overall Score","No Country",QAT,2023,2.015848754,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
124,"Overall Score","No Country",ROU,2023,2.229361819,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
125,"Overall Score","No Country",RUS,2023,3.431453936,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
126,"Overall Score","No Country",RWA,2023,4.186107786,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
127,"Overall Score","No Country",SAU,2023,2.510770927,#a6d96a,Low,Admin,"2024-11-20 09:56:35"
128,"Overall Score","No Country",SDN,2023,4.551759275,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
129,"Overall Score","No Country",SEN,2023,3.552034420,#fdae61,High,Admin,"2024-11-20 09:56:35"
130,"Overall Score","No Country",SGP,2023,1.409951109,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
131,"Overall Score","No Country",SLB,2023,3.285245838,#a6d96a,Low,Admin,"2024-11-20 09:56:35"
132,"Overall Score","No Country",SLE,2023,4.069635786,#fdae61,High,Admin,"2024-11-20 09:56:35"
133,"Overall Score","No Country",SLV,2023,3.487798348,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
134,"Overall Score","No Country",SOM,2023,4.950538829,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
135,"Overall Score","No Country",SRB,2023,3.295405864,#a6d96a,Low,Admin,"2024-11-20 09:56:35"
136,"Overall Score","No Country",SSD,2023,5.000000000,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
137,"Overall Score","No Country",SVK,2023,1.893449893,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
138,"Overall Score","No Country",SVN,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
139,"Overall Score","No Country",SWE,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
140,"Overall Score","No Country",SWZ,2023,4.174813531,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
141,"Overall Score","No Country",SYR,2023,4.415031970,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
142,"Overall Score","No Country",TCD,2023,4.824939055,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
143,"Overall Score","No Country",TGO,2023,4.203049167,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
144,"Overall Score","No Country",THA,2023,3.476153117,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
145,"Overall Score","No Country",TJK,2023,3.940980309,#fdae61,High,Admin,"2024-11-20 09:56:35"
146,"Overall Score","No Country",TKM,2023,2.663689219,#a6d96a,Low,Admin,"2024-11-20 09:56:35"
147,"Overall Score","No Country",TLS,2023,4.008223277,#fdae61,High,Admin,"2024-11-20 09:56:35"
148,"Overall Score","No Country",TTO,2023,3.341862262,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
149,"Overall Score","No Country",TUN,2023,3.491094655,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
150,"Overall Score","No Country",TUR,2023,3.237346345,#a6d96a,Low,Admin,"2024-11-20 09:56:35"
151,"Overall Score","No Country",TZA,2023,5.000000000,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
152,"Overall Score","No Country",UGA,2023,4.279285385,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
153,"Overall Score","No Country",UKR,2023,3.849492417,#fdae61,High,Admin,"2024-11-20 09:56:35"
154,"Overall Score","No Country",URY,2023,2.001012681,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
155,"Overall Score","No Country",USA,2023,1.754229517,#1a9850,"Very Low",Admin,"2024-11-20 09:56:35"
156,"Overall Score","No Country",UZB,2023,2.955450525,#a6d96a,Low,Admin,"2024-11-20 09:56:35"
157,"Overall Score","No Country",VEN,2023,3.675584843,#fdae61,High,Admin,"2024-11-20 09:56:35"
158,"Overall Score","No Country",VNM,2023,3.895986623,#fdae61,High,Admin,"2024-11-20 09:56:35"
159,"Overall Score","No Country",VUT,2023,3.258287665,#a6d96a,Low,Admin,"2024-11-20 09:56:35"
160,"Overall Score","No Country",YEM,2023,4.474584109,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
161,"Overall Score","No Country",ZAF,2023,3.914339787,#fdae61,High,Admin,"2024-11-20 09:56:35"
162,"Overall Score","No Country",ZMB,2023,4.238343713,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
163,"Overall Score","No Country",ZWE,2023,4.346345021,#d73027,"Very High",Admin,"2024-11-20 09:56:35"
165,"Extreme Deprivation","No Country",IRN,2023,3.861391453,#fee98b,Medium,Admin,"2024-11-20 09:56:35"
179,"Overall Score",Afghanistan,AFG,2023,4.623054256,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
180,"Overall Score",Angola,AGO,2023,4.607524656,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
181,"Overall Score","No Country",ALB,2023,3.500672186,#fee98b,Medium,Admin,"2024-11-20 10:04:16"
182,"Overall Score","No Country",ARE,2023,1.688120148,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
183,"Overall Score","No Country",ARG,2023,3.031915444,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
184,"Overall Score","No Country",ARM,2023,3.648924806,#fdae61,High,Admin,"2024-11-20 10:04:16"
185,"Overall Score","No Country",AUS,2023,2.608441611,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
186,"Overall Score","No Country",AUT,2023,1.409069931,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
187,"Overall Score","No Country",AZE,2023,3.179856068,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
188,"Overall Score","No Country",BDI,2023,4.316697603,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
189,"Overall Score","No Country",BEL,2023,1.099889682,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
190,"Overall Score","No Country",BEN,2023,4.092930186,#fdae61,High,Admin,"2024-11-20 10:04:16"
191,"Overall Score","No Country",BFA,2023,4.369602342,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
192,"Overall Score","No Country",BGD,2023,4.206211958,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
193,"Overall Score","No Country",BGR,2023,1.988240593,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
194,"Overall Score","No Country",BHR,2023,2.885886949,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
195,"Overall Score","No Country",BIH,2023,3.156583586,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
196,"Overall Score","No Country",BLR,2023,2.039641588,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
197,"Overall Score","No Country",BOL,2023,3.795044224,#fdae61,High,Admin,"2024-11-20 10:04:16"
198,"Overall Score","No Country",BRA,2023,3.374648969,#fee98b,Medium,Admin,"2024-11-20 10:04:16"
199,"Overall Score","No Country",BTN,2023,2.860453908,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
200,"Overall Score","No Country",BWA,2023,3.338424562,#fee98b,Medium,Admin,"2024-11-20 10:04:16"
201,"Overall Score","No Country",CAF,2023,4.679724992,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
202,"Overall Score","No Country",CAN,2023,1.862275394,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
203,"Overall Score","No Country",CHE,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
204,"Overall Score","No Country",CHL,2023,2.457797436,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
205,"Overall Score","No Country",CHN,2023,2.843505353,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
206,"Overall Score","No Country",CIV,2023,3.682240232,#fdae61,High,Admin,"2024-11-20 10:04:16"
207,"Overall Score","No Country",CMR,2023,4.117346956,#fdae61,High,Admin,"2024-11-20 10:04:16"
208,"Overall Score","No Country",COD,2023,4.265795692,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
209,"Overall Score","No Country",COG,2023,4.308226912,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
210,"Overall Score","No Country",COL,2023,4.206211958,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
211,"Overall Score","No Country",CRI,2023,2.340619546,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
212,"Overall Score","No Country",CUB,2023,3.761867351,#fdae61,High,Admin,"2024-11-20 10:04:16"
213,"Overall Score","No Country",CYP,2023,1.648391792,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
214,"Overall Score","No Country",CZE,2023,1.690604631,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
215,"Overall Score","No Country",DEU,2023,1.171167282,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
216,"Overall Score","No Country",DJI,2023,4.206211958,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
217,"Overall Score","No Country",DNK,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
218,"Overall Score","No Country",DOM,2023,3.552740311,#fdae61,High,Admin,"2024-11-20 10:04:16"
219,"Overall Score","No Country",DZA,2023,2.790120644,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
220,"Overall Score","No Country",ECU,2023,3.676847757,#fdae61,High,Admin,"2024-11-20 10:04:16"
221,"Overall Score","No Country",EGY,2023,3.818895145,#fdae61,High,Admin,"2024-11-20 10:04:16"
222,"Overall Score","No Country",ERI,2023,4.398004693,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
223,"Overall Score","No Country",ESP,2023,1.641491156,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
224,"Overall Score","No Country",EST,2023,1.551459436,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
225,"Overall Score","No Country",ETH,2023,4.409321206,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
226,"Overall Score","No Country",FIN,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
227,"Overall Score","No Country",FRA,2023,1.747968453,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
228,"Overall Score","No Country",GAB,2023,3.762389910,#fdae61,High,Admin,"2024-11-20 10:04:16"
229,"Overall Score","No Country",GBR,2023,1.900540328,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
230,"Overall Score","No Country",GEO,2023,2.988733478,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
231,"Overall Score","No Country",GHA,2023,3.231559949,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
232,"Overall Score","No Country",GIN,2023,4.131050429,#fdae61,High,Admin,"2024-11-20 10:04:16"
233,"Overall Score","No Country",GMB,2023,4.164931058,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
234,"Overall Score","No Country",GNB,2023,4.450110984,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
235,"Overall Score","No Country",GNQ,2023,4.382162126,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
236,"Overall Score","No Country",GRC,2023,2.531911743,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
237,"Overall Score","No Country",GTM,2023,3.890968300,#fdae61,High,Admin,"2024-11-20 10:04:16"
238,"Overall Score","No Country",GUY,2023,3.338424562,#fee98b,Medium,Admin,"2024-11-20 10:04:16"
239,"Overall Score","No Country",HND,2023,3.398150203,#fee98b,Medium,Admin,"2024-11-20 10:04:16"
240,"Overall Score","No Country",HRV,2023,3.072211936,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
241,"Overall Score","No Country",HTI,2023,4.738543456,#d73027,"Very High",Admin,"2024-11-20 10:04:16"
242,"Overall Score","No Country",HUN,2023,1.765187595,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
243,"Overall Score","No Country",IDN,2023,3.394927256,#fee98b,Medium,Admin,"2024-11-20 10:04:16"
244,"Overall Score","No Country",IND,2023,3.930575278,#fdae61,High,Admin,"2024-11-20 10:04:16"
245,"Overall Score","No Country",IRL,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
246,"Overall Score","No Country",IRN,2023,3.175345685,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
247,"Overall Score","No Country",IRQ,2023,3.761684019,#fdae61,High,Admin,"2024-11-20 10:04:16"
248,"Overall Score","No Country",ISL,2023,1.299024354,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
249,"Overall Score","No Country",ISR,2023,3.072381670,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
250,"Overall Score","No Country",ITA,2023,1.378681945,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
251,"Overall Score","No Country",JAM,2023,2.664623472,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
252,"Overall Score","No Country",JOR,2023,2.942744489,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
253,"Overall Score","No Country",JPN,2023,1.318466887,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
254,"Overall Score","No Country",KAZ,2023,2.485870007,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
255,"Overall Score","No Country",KEN,2023,3.933398841,#fdae61,High,Admin,"2024-11-20 10:04:16"
256,"Overall Score","No Country",KGZ,2023,3.078981434,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
257,"Overall Score","No Country",KHM,2023,4.099283204,#fdae61,High,Admin,"2024-11-20 10:04:16"
258,"Overall Score","No Country",KOR,2023,1.633149121,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
259,"Overall Score","No Country",KWT,2023,1.977070196,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
260,"Overall Score","No Country",LAO,2023,4.124517491,#fdae61,High,Admin,"2024-11-20 10:04:16"
261,"Overall Score","No Country",LBN,2023,3.457926973,#fee98b,Medium,Admin,"2024-11-20 10:04:16"
262,"Overall Score","No Country",LBR,2023,3.598742493,#fdae61,High,Admin,"2024-11-20 10:04:16"
263,"Overall Score","No Country",LBY,2023,3.542785418,#fee98b,Medium,Admin,"2024-11-20 10:04:16"
264,"Overall Score","No Country",LKA,2023,3.283795876,#a6d96a,Low,Admin,"2024-11-20 10:04:16"
265,"Overall Score","No Country",LSO,2023,4.119048150,#fdae61,High,Admin,"2024-11-20 10:04:16"
266,"Overall Score","No Country",LTU,2023,1.982542726,#1a9850,"Very Low",Admin,"2024-11-20 10:04:16"
